# Constructed from biom file
SM030818-1	SM030818-24	SM030818-33	SM030818-62	SM030818-66	SM030818-91	SM030818-92	SM030818-93	SM030818-94	SM030818-95	SM030818-96	SM030818-97	SM030818-98	SM030818-99	SM030818-100	SM030818-101	SM030818-102	SM030818-103	SM030818-104	SM030818-105	SM030818-106	SM030818-107	SM030818-108	SM030818-109	SM030818-110	SM030818-111	SM030818-121	SM030818-126	SM030818-128	SM030818-130	SM030818-131	SM030818-132	SM030818-133	SM030818-134	SM030818-135	SM030818-136	SM030818-138	SM030818-139	SM030818-140	SM030818-141	SM030818-142	SM030818-143	SM030818-144	SM030818-145	SM030818-146	SM030818-147	SM030818-148	SM111418-7	SM111418-12	SM111418-44	SM111418-52	SM111418-59	SM111418-94	SM111418-113	SM071219-60	SM071219-66	SM071219-71	SM071219-89	SM071219-92	SM071219-95
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	1.87999965314e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06999999379e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.70999852506e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae	3.62199933174e-05	9.73000017319e-05	3.17999923394e-06	0.000192640951635	0.0	0.0	2.92999909784e-05	0.00064084100892	9.10999947343e-05	0.0	0.000113099992869	0.000134800020111	0.0	5.94000022572e-237	0.000243270938907	9.59599912004e-05	0.000119099973857	0.0	3.81999888838e-05	3.27000039694e-06	0.00011900798854	0.0	0.0	0.000138022983947	0.000123200036727	0.0	3.20999972132e-05	0.0	6.23999976501e-23	0.000132100003429	4.6999999859e-05	7.95600084914e-05	5.23499845625e-05	3.47300127636e-05	3.40299909169e-05	4.5800003435e-05	0.000175310992143	3.94280186928e-05	1.56900034422e-05	0.000205860083574	0.000772653403688	0.000419886964137	0.00017253095911	0.000125769967513	0.000102639996044	6.15800251503e-05	0.000347835998052	0.000513516999996	5.65899985284e-05	1.33299950931e-05	0.000190762002671	5.4059985452e-05	0.000348441931683	3.56999929207e-05	9.12999817035e-06	0.000472252930082	0.0	0.000171599977331	0.0	8.93000104566e-06
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinopolysporales;f__Actinopolysporaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.50999996073e-138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae	0.133664058339	0.0288107825128	0.000459808889232	0.573238446281	0.0163386141286	0.00548539712913	0.062613327121	8.64000012027e-26	0.000482534972109	0.000942145828406	4.22999973328e-67	0.264674074489	0.000466483066707	0.0412183835663	0.000451205886696	0.0504110573777	0.547729876773	0.294588917775	0.163973721284	0.00367514744689	0.00642605068117	0.49674153358	0.000105500016668	0.00263017369409	0.000895266266879	0.0	0.00614368746663	0.00148799900223	0.00882639526761	0.0571839904845	0.238345493285	0.00731216978042	0.000491895854942	0.25422430143	0.314463282066	0.139047835429	0.703202725501	0.905247475178	0.332580292964	0.653072387252	0.00750903892325	0.24622257597	0.147218721109	0.209568964884	0.772113050242	0.00306772263391	0.380723317868	0.0	0.0969943314777	0.0284146645406	0.0	0.243526462573	3.72999926875e-05	0.0683030124555	0.131319971683	0.2168145539	0.0	0.0842415828715	0.0217391248498	0.00583010868697
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.06999765714e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Catenulisporales;f__Catenulisporaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5000034508e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae	0.0	1.03000001833e-96	0.0	0.0	0.0	0.0	5.74999822954e-06	0.0	0.0	0.0	0.0	4.98000074298e-36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41000016758e-05	5.41000085474e-05	0.0	0.0	0.0	0.0	0.00020699200031	0.0	0.0	0.0	1.55000016543e-05	9.99999705105e-194	0.0	0.0	4.1400003105e-32	1.48999993322e-06	2.42000114732e-16	4.45000097627e-275	8.74000354823e-06	3.74800195822e-05	1.63999985993e-05	2.20999947623e-06	2.52899934674e-05	6.77999973873e-06	0.0	0.0	0.0	3.75999990222e-82	2.15999920488e-27	0.0	1.04199971959e-05	1.08999978629e-15	3.74999925637e-06	1.21999975551e-05	0.0	0.0	0.0	3.30000123714e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae	1.49999972325e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Lawsonellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.91000045976e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33999988555e-05	0.0	3.26999915533e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61999902583e-06	0.0	0.0	0.0	0.0	0.0	0.0	2.65000099346e-06	0.0
